position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,combined_typeform_urls,publicwww_email_candidate_count,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,scan_mode,verification_eligible_emails,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
10001,>30M,cargo.co,yes,,,https://cargoproducts.typeform.com/ ; https://cargoproducts.typeform.com/to/HdMXskXg,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10002,>30M,entrepreneur.vc,yes,,,https://form.typeform.com/to/aSvEO43W,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10003,>30M,shown.io,no,,,,0,,aos@2.3.1 ; contact@shown.io ; john.doe@mail.com,showing_email_candidates,not_flagged,contact_pages,contact@shown.io,contact@shown.io,,,,valid=1; invalid=0; risky=0; unknown=0
10004,>30M,mush.pt,yes,,,https://e8fevzfuf0z.typeform.com/to/cErSHHLu,0,,hello@mush.pt,showing_email_candidates,not_flagged,contact_pages,hello@mush.pt,hello@mush.pt,,,,valid=1; invalid=0; risky=0; unknown=0
10005,>30M,guard.io,no,,,,0,,jon@gmail.com ; s@yahoo.com ; smith@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10006,>30M,bill.pro,no,,,,0,,swiper@8.4.7,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10007,>30M,leaf.my,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10008,>30M,vids.agency,yes,,,https://cfhz8t6565y.typeform.com/to/KzyQ34mi,0,,slick-carousel@1.8.1,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10009,>30M,uvg.si,no,,,,0,,info@uvg.si,showing_email_candidates,not_flagged,contact_pages,info@uvg.si,,,,info@uvg.si,valid=0; invalid=0; risky=0; unknown=1
10010,>30M,lob.ee,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10011,>30M,things.ee,no,,,https://embed.typeform.com/,0,,hello@things.info,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10012,>30M,electricgallery.co.uk,no,,,,0,,returns@electricgallery.co.uk ; submissions@electricgallery.co.uk ; support@electricgallery.co.uk,showing_email_candidates,not_flagged,contact_pages,support@electricgallery.co.uk,,,,support@electricgallery.co.uk,valid=0; invalid=0; risky=0; unknown=1
10013,>30M,plot.so,no,,,https://plotworkspace.typeform.com/,0,,lenis@1.3.1,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10014,>30M,sled.so,no,,,,0,,hi@sled.so ; hi@snowboard.software,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10015,>30M,prophix.co.uk,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10016,>30M,stevegibsonconsulting.co.uk,yes,,,https://steve428207.typeform.com/to/SByC2tRu,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10017,>30M,tion.co.uk,no,,,,0,,support@tion.co.uk,showing_email_candidates,not_flagged,contact_pages,support@tion.co.uk,,,,support@tion.co.uk,valid=0; invalid=0; risky=0; unknown=1
10018,>30M,saddlesdirect.co.uk,no,,,https://saddlesdirect.typeform.com/,0,,customerservice@saddlesdirect.co.uk,showing_email_candidates,not_flagged,contact_pages,customerservice@saddlesdirect.co.uk,customerservice@saddlesdirect.co.uk,,,,valid=1; invalid=0; risky=0; unknown=0
10019,>30M,coastal.construction,yes,,,https://coastalconstruction.typeform.com/to/jQ8WeL ; https://embed.typeform.com/,0,,hello@coastal.construction,showing_email_candidates,not_flagged,contact_pages,hello@coastal.construction,,hello@coastal.construction,,,valid=0; invalid=1; risky=0; unknown=0
10020,>30M,upgrade.fr,yes,,,,0,,adresse@mail.com ; draft.studio@upgrade.fr,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10021,>30M,alt.jp,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10022,>30M,phl.limo,no,,,,0,,example@email.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10023,>30M,dma.it,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10024,>30M,loom.club,no,,,https://fdwpdmr3jy6.typeform.com/,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10025,>30M,yeti.marketing,no,,,,0,,hi@yeti.marketing,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10026,>30M,haul.club,no,,,https://images.typeform.com/,0,,bootstrap@5.1.0,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10027,>30M,filing.cab,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10028,>30M,glia.kr,no,,,,0,,mohmind015@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10029,>30M,orlando.md,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10030,>30M,veb.link,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10031,>30M,alls.link,no,,,,0,,info@alls.link,showing_email_candidates,not_flagged,contact_pages,info@alls.link,,,,info@alls.link,valid=0; invalid=0; risky=0; unknown=1
10032,>30M,ivtturku.fi,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10033,>30M,new.tn,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10034,>30M,professional.ch,no,,,,0,,8820d8cf46bcadc469c79814be06b699@o408736.ingest.sentry.io ; angela.angst@professional.ch ; cem.bestas@yousty.ch ; community@professional.ch ; fabian.wolf@professional.ch ; gezim.gashi@professional.ch ; leona.vladi@yousty.ch ; pascal.fleischhacker@professional.ch ; qendrim.elmazi@yousty.ch ; rahel.rakeseder@professional.ch ; stephan.bachmann@yousty.ch ; stephan.weder@professional.ch ; urs.casty@yousty.ch ; vanessa.lanter@professional.ch ; vebi.zekiri@professional.ch,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10035,>30M,dir.im,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
